Date,^SSMI,ABBN.SW,NESN.SW,NOVN.SW,CFR.SW,ROG.SW,SREN.SW,SCMN.SW,UBSG.SW,ZURN.SW
5/16/2000,0.0058,0.0099,-0.0081,0.002,0.0012,-0.0064,0.0152,0.0216,0.0321,0.019
5/17/2000,-0.0051,0,-0.0003,-0.0057,0.0093,-0.0071,-0.0036,-0.0301,-0.0022,-0.0113
5/18/2000,0.0086,0.0479,0.0022,-0.0037,-0.0021,0.0056,0.0082,-0.0137,0.0076,0.0324
5/19/2000,-0.0099,-0.0094,-0.0037,-0.0111,0.0189,-0.0113,0.0003,-0.0511,-0.0131,-0.0136
5/22/2000,-0.0009,-0.0095,0.0146,0.0078,0.0174,-0.0009,0.013,-0.0018,-0.0233,-0.0087
5/23/2000,0.0147,0.0118,0.0135,0.0106,-0.0139,0.015,0.0239,0.0072,0.0332,0.026
5/24/2000,0.0026,-0.0178,0.0154,0.0089,-0.0141,-0.0006,0.0202,-0.009,-0.0011,0.0073
5/25/2000,0.0117,0.0341,-0.0003,0.0108,-0.0071,0.0173,0.0089,0.0374,0.0279,0.0204
5/26/2000,-0.0148,-0.007,-0.0133,-0.0056,-0.0231,-0.0055,0.007,-0.0123,-0.0334,0.0012
5/29/2000,0.0032,-0.0023,-0.004,0.002,0.0002,0.0025,0.0006,0.0262,0.012,0.0071
5/30/2000,-0.0119,-0.0577,-0.0006,-0.008,0.0024,-0.0053,-0.015,0.0086,-0.0241,0.0059
5/31/2000,0,0.0365,-0.0185,0.002,0.0217,-0.0084,-0.0009,0.0136,0.0099,-0.007
6/2/2000,0.0112,-0.0168,0.0133,0.0108,0.0212,0,0.004,0.025,0.0313,-0.006
6/5/2000,-0.0065,0.0048,-0.0195,-0.018,-0.0165,-0.0028,0.0055,-0.0063,0.0064,-0.0196
6/6/2000,-0.0057,-0.0085,0.0053,-0.0097,0.0211,-0.0306,0.0003,-0.0102,0.0105,-0.0238
6/7/2000,0.0066,-0.0073,0.0016,0.0158,0.0252,0.0107,0.0003,-0.0052,0.0021,-0.0025
6/8/2000,0.0015,-0.0086,-0.0141,-0.0052,-0.0322,0.0144,0.0079,0.0154,0.0145,0.0076
6/9/2000,-0.0017,-0.0075,-0.0108,0.0004,-0.0075,0,-0.0009,-0.0017,0.0041,-0.0013
6/13/2000,0.0026,-0.0088,0.0152,0.0056,-0.0233,-0.0129,-0.0024,0.0202,0.0102,0.02
6/14/2000,0.009,0.0075,0.0162,0.0096,0,0.003,0.0103,0.0328,0.0141,0.0159
6/15/2000,-0.0077,-0.0138,-0.0043,-0.0084,-0.0073,0,0.0003,-0.0163,-0.0325,0.0109
6/16/2000,0.0023,0.0176,0.0126,-0.0044,0,-0.0027,0.003,-0.0165,0.0082,0.012
6/19/2000,-0.0065,-0.0125,-0.0089,-0.0057,0.0116,-0.0092,-0.0048,0.0017,-0.0103,0.0071
6/20/2000,0.0003,0.0088,-0.0031,0.004,0.0133,-0.0018,-0.0027,0.0017,0.0062,0.0035
6/21/2000,-0.0047,-0.0266,0.0086,0.0053,-0.005,-0.0024,-0.0088,-0.0201,-0.0145,-0.0238
6/22/2000,-0.0124,-0.0064,-0.0025,0,-0.0007,-0.0511,-0.0052,-0.0119,-0.0063,-0.0368
6/23/2000,0.0016,0.0064,0.0015,-0.0048,-0.0003,0.0097,-0.0028,0.0051,0.0021,0.0112
6/26/2000,0.0012,0.0328,0.0012,-0.0028,-0.0019,-0.0113,0.0116,-0.0034,-0.0063,0.0111
6/27/2000,0.0007,-0.0087,-0.0046,0.0248,0.0045,-0.0115,-0.0085,0,-0.0042,0
6/28/2000,0.0047,0,0.0003,0.0016,0.0023,0.0022,0.0076,0.0051,0.021,-0.0037
6/29/2000,-0.0022,-0.0177,0.011,0.0051,0.013,-0.0016,0.0015,-0.0294,-0.0199,-0.0111
6/30/2000,0.0066,-0.0051,-0.0052,0.0132,0.0277,0.0155,0.0075,-0.0088,0.0116,0
7/3/2000,0.0036,-0.0103,0.0088,0.0043,-0.0039,0.005,0.0015,0.0106,0.0031,0.0197
7/4/2000,0.005,0.0052,-0.0015,0,0.0275,0.0013,0.0075,0.0052,0.001,0.0121
7/5/2000,0.0048,0.0039,0,-0.0105,-0.0101,0.0438,0.3429,0.0017,0.0093,0.0036
7/6/2000,0.0057,-0.0116,-0.0006,0.0151,0.0211,0.024,0.0045,0.0087,-0.0031,0.0036
7/7/2000,-0.001,0.009,0.0009,-0.0027,0.0098,-0.0124,0.0015,0.0086,0,0.013
7/10/2000,0.0009,0.0115,0.0003,0.0077,0.0054,-0.0119,-0.0009,0,0.0041,0.0152
7/11/2000,0.002,0.0051,-0.0003,0.0027,-0.0022,-0.0054,0.0084,-0.0034,0,0.0173
7/12/2000,-0.0041,0.0262,-0.0037,0.0019,0.0299,-0.0094,0.0162,0,-0.0794,0.0046
7/13/2000,0.0071,0.0098,0,-0.0057,0.0229,-0.0027,-0.0006,0,0.0394,0.0057
7/14/2000,-0.0016,0.0073,-0.0117,-0.0084,-0.0124,-0.0123,0.0035,0.0017,0.0212,0.0023
7/17/2000,-0.0045,0.006,-0.0015,-0.0207,-0.0211,-0.0282,-0.0059,0.0068,0.0187,0.0134
7/18/2000,-0.0009,-0.0048,-0.0046,0.0039,-0.028,0.0048,0.0006,-0.0034,-0.0314,-0.0033
7/19/2000,0.0047,0.0108,0.0074,0.0059,-0.0268,0.0066,-0.0021,-0.0034,0.0064,-0.0022
7/20/2000,0.0017,-0.0378,0.0135,0.0016,0.0167,-0.0035,-0.0003,-0.0069,0.0095,-0.0056
7/21/2000,-0.0058,-0.0277,0.0015,-0.0027,0.0358,-0.0079,-0.0012,-0.0191,-0.0116,-0.017
